2025-06-16 01:37:26,891 - INFO - System Monitor: Starting system monitoring...
2025-06-16 01:37:26,896 - INFO - CPU: Usage: 25.0%
2025-06-16 01:37:26,896 - INFO - Memory: Usage: 80.4%
2025-06-16 01:37:27,241 - INFO - Software: PID: 2888, Name: RtkAudioService64.exe, Username: None
2025-06-16 01:37:27,245 - INFO - Software: PID: 2908, Name: svchost.exe, Username: None
2025-06-16 01:37:27,246 - INFO - Software: PID: 2940, Name: dllhost.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,251 - INFO - Software: PID: 2952, Name: OneDrive.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,252 - INFO - Software: PID: 2964, Name: svchost.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,256 - INFO - Software: PID: 2976, Name: svchost.exe, Username: None
2025-06-16 01:37:27,260 - INFO - Software: PID: 2992, Name: svchost.exe, Username: None
2025-06-16 01:37:27,263 - INFO - Software: PID: 3008, Name: svchost.exe, Username: None
2025-06-16 01:37:27,270 - INFO - Software: PID: 3024, Name: svchost.exe, Username: None
2025-06-16 01:37:27,271 - INFO - Software: PID: 3056, Name: RuntimeBroker.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,272 - INFO - Software: PID: 3060, Name: msedge.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,275 - INFO - Software: PID: 3244, Name: svchost.exe, Username: None
2025-06-16 01:37:27,279 - INFO - Software: PID: 3260, Name: svchost.exe, Username: None
2025-06-16 01:37:27,284 - INFO - Software: PID: 3312, Name: svchost.exe, Username: None
2025-06-16 01:37:27,287 - INFO - Software: PID: 3348, Name: svchost.exe, Username: None
2025-06-16 01:37:27,291 - INFO - Software: PID: 3440, Name: svchost.exe, Username: None
2025-06-16 01:37:27,294 - INFO - Software: PID: 3448, Name: svchost.exe, Username: None
2025-06-16 01:37:27,298 - INFO - Software: PID: 3512, Name: svchost.exe, Username: None
2025-06-16 01:37:27,302 - INFO - Software: PID: 3564, Name: spoolsv.exe, Username: None
2025-06-16 01:37:27,303 - INFO - Software: PID: 3600, Name: explorer.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,307 - INFO - Software: PID: 3636, Name: wlanext.exe, Username: None
2025-06-16 01:37:27,308 - INFO - Software: PID: 3640, Name: msedge.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,308 - INFO - Software: PID: 3752, Name: dptf_helper.exe, Username: DESKTOP-6FILUA8\DELL
2025-06-16 01:37:27,312 - INFO - Software: PID: 3800, Name: dllhost.exe, Username: None
